,Localisation
 b_bombali,"""Bombali"""
 d_kono,"""Kono"""
 c_kono,"""Kono"""
 b_kono,"""Kono"""
 b_kuniki,"""Kuniki"""
 b_kuramora,"""Kuramora"""
 c_sherbro,"""Sherbro"""
 b_bolm,"""Bolm"""
 b_boulom,"""Boulom"""
 b_zilm,"""Zilm"""
 c_gola,"""Gola"""
 b_kokasu,"""Kokasu"""
 b_kondo,"""Kondo"""
 b_folgue_karu,"""Folgue Karu"""
 b_kpelle,"""Kpelle"""
 d_bassa,"""Bassa"""
 c_bassa,"""Bassa"""
 b_bassa,"""Bassa"""
 b_gebba,"""Gebba"""
 c_nuon,"""Nuon"""
 b_nuon,"""Nuon"""
 b_gbanshay,"""Gbanshay"""
 b_manon,"""Manon"""
 b_guerze,"""Guerze"""
 c_man,"""Man"""
 b_man,"""Man"""
 b_da,"""Da"""
 b_tura,"""Tura"""
 k_toro,"""Toro"""
 d_toro,"""Toro"""
 c_toro,"""Toro"""
 b_bisandugu,"""Bisandugu"""
 b_basando,"""Basando"""
 b_kuliya,"""Kuliya"""
 c_kabarasana,"""Kabarasana"""
 b_odienne,"""Odienné"""
 b_samatigila,"""Samatigila"""
 b_sanafula,"""Sanafula"""
 c_konyan,"""Konyan"""
 b_fwala-konyan,"""Fwala Konyan"""
 b_barala,"""Barala"""
 b_beyta,"""Beyta"""
 b_musadugu,"""Musadugu"""
 c_mau,"""Mau"""
 b_mau,"""Mau"""
 b_bafinko,"""Bafinko"""
 b_touba,"""Touba"""
 b_karagawa,"""Karagwa"""
 c_toma,"""Toma"""
 b_macenta,"""Macenta"""
 b_toma_toro,"""Toma"""
 b_buzye,"""Buzye"""
 d_loma,"""Loma"""
 c_kuranko,"""Kuranko"""
 b_kuranka,"""Kuranka"""
 b_seradu,"""Seradu"""
 b_mafindi-kabaya,"""Mafindi-Kabaya"""
 b_nyada,"""Nyada"""
 c_kisi,"""Kisi"""
 b_falanko,"""Falanko"""
 b_kisi,"""Kisi"""
 b_mara_kisi,"""Mara"""
 b_lele,"""Lele"""
 c_solimana,"""Solimana"""
 b_firiya,"""Firiya"""
 b_musala,"""Musala"""
 b_solimana,"""Solimana"""
 b_limba,"""Limba"""
 k_kong,"""Kong"""
 d_worodugu,"""Worodugu"""
 c_worodugu,"""Worodugu"""
 b_worodugu,"""Worodugu"""
 b_bou,"""Bou"""
 b_seguela,"""Seguela"""
 b_koro,"""Koro"""
 b_worodugu_east,"""Worodugu-east"""
 b_tyeme,"""Tyeme"""
 c_tyendugu,"""Tyendugu"""
 b_banifing,"""Banifing"""
 b_baoule,"""Baoule"""
 b_degou,"""Degou"""
 b_tudugu,"""Tudugu"""
 c_nyene,"""Nyene"""
 b_folona,"""Folona"""
 b_bandama_springs,"""Bandama springs"""
 b_upper_nyene,"""Upper Nyene"""
 b_lower_nyene,"""Lower Nyene"""
 d_kong,"""Kong"""
 c_kong,"""Kong"""
 b_kong-north,"""Kong-north"""
 b_kong,"""Kong"""
 b_dabakala,"""Dabakala"""
 b_gyimini,"""Gyimini"""
 b_senufo,"""Senufo"""
 c_leraba,"""Leraba"""
 b_leraba,"""Leraba"""
 b_upper_nzi,"""Upper Nzi"""
 b_korhogo,"""Korhogo"""
 c_boron,"""Boron"""
 b_boron,"""Boron"""
 b_boron-north,"""Boron-north"""
 b_kweni-east,"""Kweni-east"""
 b_kweni,"""Kweni"""
 c_nzi,"""Nzi"""
 b_bouake,"""Bouake"""
 b_middle_nzi,"""Middle Nzi"""
 b_eastern_nzi,"""Eastern Nzi"""
 b_bandama,"""Bandama"""
 d_lobi,"""Lobi"""
 c_lobi,"""Lobi"""
 b_boromo,"""Boromo"""
 b_lobi,"""Lobi"""
 b_pura,"""Pura"""
 b_kirikongo,"""Kirikongo"""
 c_loropeni,"""Loropeni"""
 b_loropeni,"""Loropeni"""
 b_iringu,"""Iringu"""
 b_komoe,"""Komoë"""
 c_dyulaso,"""Dyulaso"""
 b_bobo_dyulasso,"""Bobo Dyulasso"""
 b_buguriba,"""Buguriba"""
 c_wa,"""Wa"""
 b_wa,"""Wa"""
 b_mouhoun,"""Mouhoun"""
 b_bouna,"""Bouna"""
 b_kulango,"""Kulango"""
 k_adiukru,"""Adiukru"""
 d_wenyon,"""Wenyon"""
 c_wenyon,"""Wenyon"""
 b_wenyon,"""Wenyon"""
 b_tabu,"""Tabu"""
 b_nzo,"""Nzo"""
 c_grebo,"""Grebo"""
 b_krawi,"""Krawi"""
 b_grebo,"""Grebo"""
 b_putu,"""Putu"""
 b_lower_grebo,"""Lower Grebo"""
 d_kru,"""Kru"""
 c_kru,"""Kru"""
 b_east_kru,"""East Kru"""
 b_west_kru,"""West Kru"""
 b_sassandra,"""Sassandra"""
 c_dibri,"""Dibri"""
 b_dibri,"""Dibri"""
 b_neyo,"""Neyo"""
 c_lobo,"""Lobo"""
 b_gagnoa,"""Gagnoa"""
 b_upper_lobo,"""Upper Lobo"""
 b_lower_lobo,"""Lower Lobo"""
 c_boubo,"""Boubo"""
 b_boubo,"""Boubo"""
 b_bandama-west,"""Bandama-west"""
 b_davo,"""Davo"""
 d_adiukru,"""Adiukru"""
 c_attie,"""Attie"""
 b_attie,"""Attie"""
 b_east_attie,"""East Attie"""
 b_north_attie,"""North Attie"""
 b_west_attie,"""West Attie"""
 c_dabou,"""Dabou"""
 b_dabou,"""Dabou"""
 b_tiagba,"""Tiagba"""
 c_aowin,"""Aowin"""
 b_aowin,"""Aowin"""
 b_sanwi,"""Sanwi"""
 b_sehwi,"""Sehwi"""
 k_akan,"""Akan"""
 d_gyaman,"""Gyaman"""
 c_bonduku,"""Bonduku"""
 b_bonduku,"""Bonduku"""
 b_bohi,"""Bohi"""
 b_zanzan,"""Zanzan"""
 b_nassian,"""Nassian"""
 c_ndenye,"""Ndenye"""
 b_ndenye,"""Ndenye"""
 b_diabe,"""Diabé"""
 b_satama-sokoro,"""Satama-Sokoro"""
 d_brong,"""Brong"""
 c_bono,"""Bono"""
 b_bono_manso,"""Bono Manso"""
 b_kintampo,"""Kintampo"""
 b_prang,"""Prang"""
 c_begho,"""Begho"""
 b_begho,"""Begho"""
 b_banda,"""Banda"""
 b_sampa,"""Sampa"""
 b_wenchi,"""Wenchi"""
 c_upper_bono,"""Upper Bono"""
 b_atebubu,"""Atebubu"""
 b_donkoro_nkwanta,"""Donkoro Nkwanta"""
 b_mampon,"""Mampon"""
 c_bonoso,"""Bonoso"""
 b_ahwene_koko,"""Ahwene Koko"""
 b_upper_tano,"""Upper Tano"""
 b_tekyiman,"""Tekyiman"""
 b_middle_tano,"""Middle Tano"""
 d_ashanti,"""Ashanti"""
 c_kumasi,"""Kumasi"""
 b_kumasi,"""Kumasi"""
 b_asante_manso,"""Asante Manso"""
 b_bekwai,"""Bekwai"""
 b_manso_nkwanta,"""Manso Nkwanta"""
 c_adanse,"""Adanse"""
 b_adanse_manso,"""Adanse Manso"""
 b_adaboye,"""Adaboye"""
 b_assin,"""Assin"""
 c_kwahu-akyem,"""Kwahu-Akyem"""
 b_kwahu-south,"""Kwahu-south"""
 b_bukuruwa,"""Bukuruwa"""
 b_shai,"""Shai"""
 b_accra,"""Accra"""
 c_fante,"""Fante"""
 b_elmina,"""Elmina"""
 b_mankessim,"""Mankessim"""
 b_shama,"""Shama"""
 c_wassa,"""Wassa"""
 b_tarkwa,"""Tarkwa"""
 b_beyin,"""Beyin"""
 b_wassa,"""Wassa"""
 d_eweland,"""Eweland"""
 c_ewe,"""Ewe"""
 b_wusuta,"""Wusuta"""
 b_amezdofe,"""Amezdofe"""
 b_lome,"""Lome"""
 b_keta,"""Keta"""
 c_afram,"""Afram"""
 b_ganeboafo,"""Ganeboafo"""
 b_bassa-afram,"""Bassa-Afram"""
 b_afram,"""Afram"""
 c_nanumba,"""Nanumba"""
 b_akpafu,"""Akpafu"""
 b_nanumba,"""Nanumba"""
 b_kete-karachi,"""Kete Karachi"""
 k_gur,"""Gur"""
 d_dagomba,"""Dagomba"""
 c_dagomba,"""Dagomba"""
 b_yendi,"""Yendi"""
 b_salaga,"""Salaga"""
 b_mawli,"""Mawli"""
 c_gonja,"""Gonja"""
 b_buipe,"""Buipe"""
 b_mole_south,"""Mole-south"""
 b_bole2,"""Bole"""
 c_daboya,"""Daboya"""
 b_daboya,"""Daboya"""
 b_leo,"""Leo"""
 b_upper_mole,"""Upper Mole"""
 d_wagadugu,"""Wagadugu"""
 c_wagadugu,"""Wagadugu"""
 b_wagadugu,"""Wagadugu"""
 b_guilongu,"""Guilongu"""
 b_kayao,"""Kayao"""
 c_po,"""Po"""
 b_po,"""Po"""
 b_gurunsi,"""Gurunsi"""
 b_nakanbe,"""Nakanbe"""
 d_mamprusi,"""Mamprusi"""
 c_mamprusi,"""Mamprusi"""
 b_bawku,"""Bawku"""
 b_sansane_mango,"""Sansane Mango"""
 b_pusuga,"""Pusuga"""
 b_jimbale,"""Jimbale"""
 b_sakogu,"""Sakogu"""
 c_kuisugu,"""Kuisugu"""
 b_kuisugu,"""Kuisugu"""
 b_dikutateni,"""Dikutateni"""
 b_perma,"""Perma"""
 c_pendjari,"""Pendjari"""
 b_mekrou,"""Mekrou"""
 b_alibori,"""Alibori"""
 b_kouande,"""Kouandé"""
 b_yohongou,"""Yohongou"""
 k_borgu,"""Borgu"""
 d_borgu,"""Borgu"""
 c_nikki,"""Nikki"""
 b_nikki,"""Nikki"""
 b_kandi,"""Kandi"""
 b_segbana,"""Segbana"""
 b_borgu,"""Borgu"""
 b_nikki_west,"""Nikki-west"""
 c_bussa,"""Bussa"""
 b_busa,"""Busa"""
 b_kaiama,"""Kaiama"""
 b_moshi,"""Moshi"""
 c_ilo,"""Ilo"""
 b_ilo,"""Ilo"""
 b_madekali,"""Madekali"""
 b_kaoje,"""Kaoje"""
 c_ilesa,"""Ilesa"""
 b_ilesa,"""Ilesa"""
 b_okuta,"""Okuta"""
 b_kenu,"""Kenu"""
 c_djugu,"""Djugu"""
 b_djugu,"""Djugu"""
 b_parakou,"""Parakou"""
 d_savalu,"""Savalu"""
 c_savalu,"""Savalu"""
 b_savalu,"""Savalu"""
 b_kpessi,"""Kpessi"""
 b_weme,"""Weme"""
 c_sokode,"""Sokode"""
 b_sokode,"""Sokodé"""
 b_kotokol,"""Kotokol"""
 b_upper_mono,"""Upper Mono"""
 c_todo,"""Todo"""
 b_todo,"""Todo"""
 b_notse,"""Notse"""
 b_atakpame,"""Atakpame"""
 c_shabe,"""Shabe"""
 b_shabe,"""Shabe"""
 b_save,"""Save"""
 b_odo-akaba,"""Odo-Akaba"""
 k_yorubaland,"""Yorubaland"""
 d_ibadan,"""Ibadan"""
 c_ibadan,"""Ibadan"""
 b_ibadan,"""Ibadan"""
 b_ijaye,"""Ijaye"""
 b_abeokuta,"""Abeokuta"""
 c_abomey,"""Abomey"""
 b_abomey,"""Abomey"""
 b_whyidah,"""Whyidah"""
 c_ifonyin,"""Ifonyin"""
 b_ifonyin,"""Ifonyin"""
 b_badagry,"""Badagry"""
 b_ilaro,"""Ilaro"""
 c_ketu,"""Ketu"""
 b_ketu,"""Ketu"""
 b_ibarapa,"""Ibarapa"""
 d_oyo,"""Oyo"""
 c_oyo,"""Oyo"""
 b_oyo-ile,"""Oyo-Ile"""
 b_otefan,"""Otefan"""
 b_ogbomoso,"""Ogbomoso"""
 b_oyo,"""Oyo"""
 b_igboho,"""Igboho"""
 c_igana,"""Igana"""
 b_igana,"""Igana"""
 b_iseyin,"""Iseyin"""
 b_igbodo-saki,"""Igbodo-Saki"""
 c_ilorin,"""Ilorin"""
 b_ilorin,"""Ilorin"""
 b_tada,"""Tada"""
 b_jebba,"""Jebba"""
 c_igbomina,"""Igbomina"""
 b_ajase_ipo,"""Ajase Ipo"""
 b_idofian,"""Idofian"""
 b_giragi,"""Giragi"""
 c_yagba,"""Yagba"""
 b_ikare,"""Ikare"""
 b_ekiti,"""Ekiti"""
 b_yagba,"""Yagba"""
 d_ife,"""Ife"""
 c_ife,"""Ife"""
 b_ile-ife,"""Ile-Ife"""
 b_ijesha,"""Ijesha"""
 b_owo,"""Owo"""
 b_ondo,"""Ondo"""
 c_ijebu,"""Ijebu"""
 b_ijebu,"""Ijebu"""
 b_ikorodu,"""Ikorodu"""
 c_owu,"""Owu"""
 b_owu,"""Owu"""
 b_oshun,"""Oshun"""
 b_siluko,"""Siluko"""
 d_benin,"""Benin"""
 c_benin,"""Benin"""
 b_benin-city,"""Benin City"""
 b_benin,"""Benin"""
 b_benin_marshes,"""Benin marshes"""
 c_edo,"""Edo"""
 b_edo,"""Edo"""
 b_osse,"""Osse"""
 b_ode_itseriki,"""Ode Itseriki"""
 k_igbo-benue,"""Igbo-Benue"""
 d_igboland,"""Igboland"""
 c_igbo,"""Igbo"""
 b_igbo-ukwu,"""Igbo-Ukwu"""
 b_onitsha,"""Onitsha"""
 b_nsukka,"""Nsukka"""
 b_south_igbo,"""South Igbo"""
 c_idoma,"""Idoma"""
 b_idoma,"""Idoma"""
 b_abakaliki,"""Abakaliki"""
 b_uburu,"""Uburu"""
 b_otukpo,"""Otukpo"""
 c_igala,"""Igala"""
 b_igala,"""Igala"""
 b_ibah,"""Ibah"""
 b_east_igala,"""East Igala"""
 c_ijaw,"""Ijaw"""
 b_bonny,"""Bonny"""
 b_okrika,"""Okrika"""
 b_nembe,"""Nembe"""
 c_ibibo,"""Ibibo"""
 b_calabar,"""Calabar"""
 b_chukwu,"""Chukwu"""
 b_bende,"""Bende"""
 d_nupe,"""Nupe"""
 c_nupe,"""Nupe"""
 b_raba,"""Raba"""
 b_bida,"""Bida"""
 b_kulfo,"""Kulfo"""
 b_kutigi,"""Kutigi"""
 b_gbajigbo,"""Gbajigbo"""
 c_guwari,"""Guwari"""
 b_guwari,"""Guwari"""
 b_taruga,"""Taruga"""
 b_minna,"""Minna"""
 c_opanda,"""Opanda"""
 b_umaisha,"""Umaisha"""
 b_lower_guara,"""Lower Guara"""
 b_opanda,"""Opanda"""
 b_nok,"""Nok"""
 c_kyadya,"""Kyadya"""
 b_kyadya,"""Kyadya"""
 b_lokoja,"""Lokoja"""
 b_kakanda,"""Kakanda"""
 d_kwararafa,"""Kwararafa"""
 c_kwararafa,"""Kwararafa"""
 b_kwararafa,"""Kwararafa"""
 b_wukari,"""Wukari"""
 b_muri,"""Muri"""
 c_keffi,"""Keffi"""
 b_keffi,"""Keffi"""
 b_moda,"""Moda"""
 b_wase,"""Wase"""
 c_bauchi,"""Bauchi"""
 b_bauchi,"""Bauchi"""
 b_durum,"""Durum"""
 b_jos,"""Jos"""
 b_gbagye,"""Gbagye"""
 e_india,"""India"""
 e_rajastan,"""Rajastan"""
 k_sindh,"""Sindh"""
 d_sauvira,"""Sauvira"""
 c_debul,"""Debul"""
 b_debul,"""Debul"""
 b_thatta,"""Thatta"""
 b_shahbandar,"""Shahbandar"""
 b_nirun,"""Nīrūn"""
 b_kolachi,"""Kolachi"""
 c_sonda,"""Sonda"""
 b_sonda,"""Sonda"""
 b_amarkot,"""Amarkot"""
 b_badin,"""Badin"""
 b_karoonjar,"""Karoonjar"""
 c_mansura,"""Mansura"""
 b_mansura,"""Mansura"""
 b_mirpur_khas,"""Mirpur Khas"""
 b_matiari,"""Matiari"""
 b_nasarpur,"""Nasarpur"""
 c_ranikot,"""Ranikot"""
 b_ranikot,"""Ranikot"""
 b_sharusan,"""Sharusan"""
 b_khudabad,"""Khudabad"""
 c_siwistan,"""Siwistan"""
 b_siwistan,"""Siwistan"""
 b_mir_rukan,"""Mir Rukan"""
 d_bhakkar,"""Bhakkar"""
 c_bhakkar,"""Bhakkar"""
 b_bhakkar,"""Bhakkar"""
 b_shikarpur,"""Shikarpur"""
 b_larkana,"""Larkana"""
 b_mohenjo_daro,"""Mohenjo-daro"""
 c_aror,"""Aror"""
 b_aror,"""Aror"""
 b_siraj_ji_takri,"""Siraj-ji-Takri"""
 c_rajanpur,"""Rajanpur"""
 b_rajanpur,"""Rajanpur"""
 b_rojhan,"""Rojhan"""
 b_dajal,"""Dajal"""
 b_badah,"""Badah"""
 c_vijnot,"""Vijnot"""
 b_vijnot,"""Vijnot"""
 b_ghotki,"""Ghotki"""
 b_bhatiya,"""Bhatiya"""
 c_sibi,"""Sibi"""
 b_sibi,"""Sibi"""
 b_pul,"""Pul"""
 b_asfanjay,"""Asfanjay"""
 b_mastang,"""Mastang"""
 b_shal,"""Shal"""
 k_punjab,"""Punjab"""
 d_multan,"""Multan"""
 c_multan,"""Multan"""
 b_multan,"""Multan"""
 b_kabirwala,"""Kabirwala"""
 b_tulamba,"""Tulamba"""
 b_alipur,"""Alipur"""
 c_kafirkot,"""Kafirkot"""
 b_kafirkot,"""Kafirkot"""
 b_dera_ghazi_khan,"""Dera Ghazi Khan"""
 b_daraban,"""Daraban"""
 c_uch,"""Uch"""
 b_uch,"""Uch"""
 b_derawar,"""Derawar"""
 b_chachran,"""Chachran"""
 c_karur,"""Karur"""
 b_karur,"""Karur"""
 b_askhanda,"""Askhanda"""
 b_vehari,"""Vehari"""
 c_karor,"""Karor"""
 b_karor,"""Karor"""
 b_mankera,"""Mankera"""
 b_wan_bhachran,"""Wan Bhachran"""
 c_kalat,"""Kalat"""
 b_loralai,"""Loralai"""
 b_kohlu,"""Kohlu"""
 b_mekhtar,"""Mekhtar"""
 b_zhob,"""Zhob"""
 d_lahore,"""Lahore"""
 c_lahur,"""Lahur"""
 b_lahur,"""Lahur"""
 b_kasur,"""Kasur"""
 b_sangla,"""Sangla"""
 b_chunian,"""Chunian"""
 c_dipalpur,"""Dipalpur"""
 b_pancapura,"""Pancapura"""
 b_dipalpur,"""Dipalpur"""
 b_ajodhan,"""Ajodhan"""
 b_abohar,"""Abohar"""
 b_satghara,"""Satghara"""
 c_bhera,"""Bhera"""
 b_bhera,"""Bhera"""
 b_katasraj,"""Katasraj"""
 b_phalia,"""Phalia"""
 c_shorkot,"""Shorkot"""
 b_bhirr,"""Bhirr"""
 b_shorkot,"""Shorkot"""
 b_kamalia,"""Kamalia"""
 c_sakala,"""Sakala"""
 b_sakala,"""Sakala"""
 b_jammu,"""Jammu"""
 b_bhuttar,"""Bhuttar"""
 b_campa2,"""Campa"""
 c_trigarta,"""Trigarta"""
 b_jalandhar,"""Jalandhar"""
 b_rahon,"""Rahon"""
 b_pathankot,"""Pathankot"""
 b_kahlur,"""Kahlur"""
 b_kangra,"""Kangra"""
 b_brahmapura,"""Brahmapura"""
 c_gurjaratra,"""Gurjaratra"""
 b_gurjaratra,"""Gurjaratra"""
 b_jhelum,"""Jhelum"""
 b_kunjah,"""Kunjah"""
 d_gandhara,"""Gandhara"""
 c_udabhanda,"""Udabhanda"""
 b_udabhanda,"""Udabhanda"""
 b_attak,"""Attak"""
 b_oddiyana,"""Oddiyana"""
 b_mankiala,"""Mankiala"""
 c_purushapura,"""Purushapura"""
 b_purushapura,"""Purushapura"""
 b_nowshera,"""Nowshera"""
 b_shergarh,"""Shergarh"""
 c_nandana,"""Nandana"""
 b_nandana,"""Nandana"""
 b_lund_nandana,"""Lund"""
 c_bannu,"""Bannu"""
 b_bannu,"""Bannu"""
 b_kalabagh,"""Kalabagh"""
 b_hangu,"""Hangu"""
 c_urgun,"""Urgun"""
 b_urgun,"""Urgun"""
 b_shakin,"""Shakin"""
 b_khost,"""Khost"""
 k_delhi,"""Delhi"""
 d_kuru,"""Kuru"""
 c_delhi,"""Delhi"""
 b_indraprastha,"""Indraprastha"""
 b_dhilika,"""Dhilika"""
 b_jahanpanah,"""Jahanpanah"""
 b_rohtak,"""Rohtak"""
 c_hastinapura,"""Hastinapura"""
 b_hastinapura,"""Hastinapura"""
 b_mirath,"""Mirath"""
 b_indrasthana,"""Indrasthana"""
 b_hapur,"""Hapur"""
 c_sthanisvara,"""Sthanisvara"""
 b_saharanpur,"""Saharanpur"""
 b_sthanisvara,"""Sthanisvara"""
 b_sirhind,"""Sirhind"""
 b_samana,"""Samana"""
 b_sadhaura,"""Sadhaura"""
 d_haritanaka,"""Haritanaka"""
 c_tribandapura,"""Tribandapura"""
 b_tribandapura,"""Tribandapura"""
 b_sunam,"""Sunam"""
 b_jajjanir,"""Jajjanir"""
 c_hisar,"""Hisar"""
 b_asigarh,"""Asigarh"""
 b_asika,"""Asika"""
 b_narabhata,"""Narabhata"""
 c_sarasvati,"""Sarasvati"""
 b_sarasvati,"""Sarasvati"""
 b_bhatnir,"""Bhatnir"""
 d_mathura,"""Mathura"""
 c_mathura,"""Mathura"""
 b_mathura,"""Mathura"""
 b_krishnajanmabhoomi,"""Krishnajanmabhoomi"""
 b_govardhan,"""Govardhan"""
 b_agra,"""Agra"""
 c_kol,"""Kol"""
 b_kol,"""Kol"""
 b_soron,"""Soron"""
 b_etah,"""Etah"""
 c_sripatha,"""Sripatha"""
 b_sripatha,"""Sripatha"""
 b_bayana,"""Bayana"""
 b_dhavalapuri,"""Dhavalapuri"""
 d_vodamayutja,"""Vodamayutja"""
 c_vodamayutja,"""Vodamayutja"""
 b_vodamayutja,"""Vodamayutja"""
 b_ahichatra,"""Ahichatra"""
 b_tilokpur,"""Tilokpur"""
 b_bareily,"""Bareily"""
 c_sambhal,"""Sambhal"""
 b_sambhal,"""Sambhal"""
 b_amroha,"""Amroha"""
 b_ujhani,"""Ujhani"""
 b_bachhraon,"""Bachhraon"""
 c_katehar,"""Katehar"""
 b_mandawar,"""Mandawar"""
 b_bijnor,"""Bijnor"""
 b_gangadvara,"""Gangadvara"""
 k_gujarat,"""Gujarat"""
 d_gurjara_mandala,"""Gurjara Mandala"""
 c_sarasvata_mandala,"""Sarasvata Mandala"""
 b_anahilapataka,"""Anahilapataka"""
 b_vadnagar,"""Vadnagar"""
 b_siddhapura,"""Siddhapura"""
 b_modhera,"""Modhera"""
 b_kamboika,"""Kamboika"""
 c_khetaka,"""Khetaka"""
 b_khetaka,"""Khetaka"""
 b_khambhat,"""Khambhat"""
 b_dholka,"""Dholka"""
 b_ashaval,"""Ashaval"""
 c_mohadavasaka,"""Mohadavasaka"""
 b_mohadavasaka,"""Mohadavasaka"""
 b_jhalod,"""Jhalod"""
 b_idar,"""Idar"""
 d_anartta,"""Anartta"""
 c_dvaraka,"""Dvaraka"""
 b_dvaraka,"""Dvaraka"""
 b_lalpur,"""Lalpur"""
 b_bhanvad,"""Bhanvad"""
 c_dhamalpur,"""Dhamalpur"""
 b_dhamalpur,"""Dhamalpur"""
 b_morvi,"""Morvi"""
 b_lakhota,"""Lakhota"""
 b_halvad,"""Halvad"""
 c_kutch,"""Kutch"""
 b_kanthakota,"""Kanthakota"""
 b_bhuj,"""Bhuj"""
 b_anjar_kutch,"""Anjar"""
 d_saurashtra,"""Saurashtra"""
 c_bhumilka,"""Bhumilka"""
 b_vamanasthali,"""Vamanasthali"""
 b_bhumilka,"""Bhumilka"""
 b_shrinagar,"""Shrinagar"""
 b_mangrol,"""Mangrol"""
 b_uperkot,"""Uperkot"""
 c_somnath,"""Somnath"""
 b_somnath,"""Somnath"""
 b_delvada,"""Delvāda"""
 b_saymur,"""Saymūr"""
 b_moherak,"""Moherak"""
 c_vardhamana,"""Vardhamāna"""
 b_vardhamana,"""Vardhamāna"""
 b_ranpur,"""Ranpur"""
 b_amarvalli,"""Amarvalli"""
 c_valabhi,"""Valabhi"""
 b_valabhi,"""Valabhi"""
 b_shatrunjaya,"""Shatrunjaya"""
 b_dhandhuka,"""Dhandhuka"""
 b_sihor,"""Sihor"""
 d_lata,"""Lata"""
 c_vadodara,"""Vadodara"""
 b_vadodara,"""Vadodara"""
 b_kayavarohan,"""Kayavarohan"""
 b_darbhavati,"""Darbhavati"""
 c_navasarika,"""Navasarika"""
 b_akruresvara,"""Akruresvara"""
 b_navasarika,"""Navasarika"""
 b_bharuch,"""Bharuch"""
 b_tadkeshwar,"""Tadkeshwar"""
 b_rajpipla,"""Rajpipla"""
 b_nandurbar,"""Nandurbar"""
 c_daman,"""Daman"""
 b_daman,"""Daman"""
 b_sanjan,"""Sanjan"""
 k_rajputana,"""Rajputana"""
 d_maru,"""Maru"""
 c_mandavyapura,"""Mandavyapura"""
 b_mandavyapura,"""Mandavyapura"""
 b_siwana,"""Siwana"""
 b_osian,"""Osian"""
 b_sanderaka,"""Sanderaka"""
 c_medantaka,"""Medantaka"""
 b_medantaka,"""Medantaka"""
 b_purnatallakapura,"""Purnatallakapura"""
 c_godwad,"""Godwad"""
 b_candravati,"""Candravati"""
 b_bhillamala,"""Bhillamala"""
 b_jalor,"""Jalor"""
 b_achalgarh,"""Achalgarh"""
 c_naddula,"""Naddūla"""
 b_naddula,"""Naddūla"""
 b_ranakpur,"""Ranakpur"""
 b_bhilwara,"""Bhilwara"""
 d_jangladesh,"""Jangladesh"""
 c_nagauda,"""Nagauda"""
 b_nagauda,"""Nagauda"""
 b_ladnu,"""Ladnu"""
 b_makrana,"""Makrana"""
 b_kuchaman,"""Kuchaman"""
 c_vikramapura,"""Vikramapura"""
 b_vikramapura,"""Vikramapura"""
 b_kolayat,"""Kolayat"""
 c_reni,"""Reni"""
 b_reni,"""Reni"""
 b_dadrewa,"""Dadrewa"""
 d_stravani,"""Stravani"""
 c_ludrava,"""Ludrava"""
 b_ludrava,"""Ludrava"""
 b_jaisalmer,"""Jaisalmer"""
 b_phalavardhika,"""Phalavardhika"""
 b_juna_barmer,"""Juna Barmer"""
 c_satyapura,"""Satyapura"""
 b_satyapura,"""Satyapura"""
 b_kiratakupa,"""Kiratakupa"""
 b_kasara,"""Kasara"""
 d_medapata,"""Medapata"""
 c_medapata,"""Medapata"""
 b_aghata,"""Aghata"""
 b_eklingji,"""Eklingji"""
 b_nagahrada,"""Nagahrada"""
 b_jagadamba,"""Jagadamba"""
 b_rishabhdeo,"""Rishabhdeo"""
 c_chitrakut,"""Chitrakut"""
 b_chitrakut,"""Chitrakut"""
 b_rampura,"""Rampura"""
 b_baroli,"""Baroli"""
 b_bhainsrorgarh,"""Bhainsrorgarh"""
 c_kota,"""Kota"""
 b_kota,"""Kota"""
 b_ramgarh,"""Ramgarh"""
 b_bundi,"""Bundi"""
 d_ajmer,"""Ajmer"""
 c_ajayameru,"""Ajayameru"""
 b_shakambhari,"""Shakambhari"""
 b_pushkar,"""Pushkar"""
 b_ajayameru,"""Ajayameru"""
 b_dhanop,"""Dhanop"""
 c_ranthambore,"""Ranthambore"""
 b_ranthambore,"""Ranthambore"""
 b_mandrael,"""Mandrael"""
 b_gangapur,"""Gangapur"""
 b_sheopur,"""Sheopur"""
 c_vairata,"""Vairata"""
 b_harshnath,"""Harshnath"""
 b_vairata,"""Vairata"""
 b_sanganer,"""Sanganer"""
 b_amer,"""Amer"""
 c_gwalior,"""Gwalior"""
 b_gwalior,"""Gwalior"""
 b_dabra,"""Dabra"""
 b_narwar,"""Narwar"""
 b_sabalgarh,"""Sabalgarh"""
 c_sakarai,"""Sakarāi"""
 b_sakarai,"""Sakarāi"""
 b_khaluvana,"""Khaluvāna"""
 k_malwa,"""Malwa"""
 d_dadhipadra,"""Avanti"""
 c_ujjayini,"""Ujjayini"""
 b_ujjayini,"""Ujjayini"""
 b_agar,"""Agar"""
 b_mehidpur,"""Mehidpur"""
 b_maksi,"""Maksi"""
 b_dewas,"""Dewas"""
 c_dadhipadra,"""Dadhipadra"""
 b_dadhipadra,"""Dadhipadra"""
 b_champaner,"""Champāner"""
 c_dhara,"""Dhara"""
 b_dhara,"""Dhara"""
 b_dharampuri,"""Dharampuri"""
 b_depalpur,"""Depalpur"""
 b_betma,"""Betma"""
 c_dasapura,"""Dasapura"""
 b_dasapura,"""Dasapura"""
 b_dharmrajeshwar,"""Dharmrajeshwar"""
 b_vatapadraka,"""Vatapadraka"""
 d_akara_dasarna,"""Akara-Dasarna"""
 c_vidisa,"""Vidisa"""
